S/N,Species,ID.No.,Name,Sex,Age,Date.of.Birth,Father,Mother,Alive,Dependent,Trnaslocation.In,Translocation.Out
1,Black Rhino,1,Nairobi,Male,49 years,1/1/1964,,,NO,NO,NA,NA
2,Black Rhino,10,khali,Female,59 years,1/1/1962,,,NO,NO,NA,NA
3,Black Rhino,11,kampie,Female,35 years,1/10/1986,,khali,YES,NO,NA,NA
4,Black Rhino,15,Mokoyiet,Male,42 years,1/1/1979,,,YES,NO,NA,NA
5,Black Rhino,16,Chiro,Female,48 years,1/10/1973,,,YES,NO,NA,NA
6,Black Rhino,17,Christopher,Male,31 years,1/2/1990,,Chiro,YES,NO,NA,NA
7,Black Rhino,18,Ngishu,Male,30 years,1/1/1983,,,NO,NO,NA,NA
8,Black Rhino,21,Kyela,Female,31 years,1/1/1987,,,NO,NO,NA,NA
9,Black Rhino,24,kinyanjui,Male,52 years,1/1/1969,,,YES,NO,NA,NA
10,Black Rhino,25,jee,Female,38 years,1/1/1983,,,YES,NO,NA,NA
11,Black Rhino,29,Kimalel,Male,52 years,8/7/1968,,,NO,NO,NA,NA
12,Black Rhino,36,Hookie,Female,37 years,1/1/1984,,,YES,NO,NA,NA
13,Black Rhino,39,Sarah,Female,45 years,1/1/1976,,,YES,NO,NA,NA
14,Black Rhino,47,Nancy,Female,46 years,1/1/1975,,,YES,NO,NA,NA
15,Black Rhino,48,Ndungi,Female,30 years,1/1/1991,,Nancy,YES,NO,NA,NA
16,Black Rhino,55,Wangare,Female,45 years,1/1/1976,,,YES,NO,NA,NA
17,Black Rhino,64,Edith,Female,31 years,3/1/1990,,khali,YES,NO,NA,NA
18,Black Rhino,71,Robinson,Male,23 years,2/3/1990,,,NO,NO,NA,NA
19,Black Rhino,73,Mwangi,Male,12 years,9/5/2008,,,YES,NO,NA,NA
20,Black Rhino,78,Topirian,Female,29 years,1/1/1992,,Wangare,YES,NO,NA,NA
21,Black Rhino,82,jimmy,Male,25 years,1/1/1993,,,NO,NO,NA,NA
22,Black Rhino,88,Gakenya,Female,26 years,1/1/1995,,khali,YES,NO,NA,NA
23,Black Rhino,91,Ruth,Female,26 years,6/1/1995,,Chiro,YES,NO,NA,NA
24,Black Rhino,92,Ema,Female,11 years,6/1/1995,,,NO,NO,NA,NA
25,Black Rhino,95,Jogu,Female,25 years,6/1/1996,,jee,YES,NO,NA,NA
26,Black Rhino,97,Wahito,Female,25 years,6/1/1996,,,YES,NO,NA,NA
27,Black Rhino,98,Mugnum,Male,24 years,1/1/1997,,,YES,NO,NA,NA
28,Black Rhino,100,Wamithi,Male,24 years,3/1/1997,,,YES,NO,NA,NA
29,Black Rhino,105,Elnino,Female,23 years,5/21/1998,,Topirian,YES,NO,NA,NA
30,Black Rhino,107,Seroney,Male,22 years,7/15/1998,,Chiro,YES,NO,NA,NA
31,Black Rhino,108,Micah,Male,22 years,8/1/1998,,Nancy,YES,NO,NA,NA
32,Black Rhino,109,Lankeu,Male,22 years,10/15/1998,,Kyela,YES,NO,NA,NA
33,Black Rhino,112,Rebecca,Female,22 years,2/1/1999,,Edith,YES,NO,NA,NA
34,Black Rhino,123,Drazuru,Male,20 years,5/15/2001,Nairobi,Topirian,YES,NO,NA,NA
